"","d","d_obs","cohens_d","response","resp","p"
"1",-1.13639087251268,1.00199671868141,1.31451921276822,"y",1,0.0069390845483596
"2",2.31248620028974,2.25153633447666,3.7561529814418,"y",1,0.000000000651660252626426
"3",-1.17332989388479,1.10096552052163,1.51099624169434,"n",0,0.00239207675655096
"4",0.0481178275054795,0.405190171999467,0.560003793700525,"n",0,0.230898372202854
"5",1.26986815643864,1.23090256355444,1.50654190481838,"y",1,0.00221564029196128
"6",-0.351759407452213,0.29123557838704,0.35764312144961,"n",0,0.440699679981858
"7",-0.715621690349887,1.18426055404854,1.80706846567901,"n",0,0.000338953188096417
"8",0.369413800147305,0.285818444889571,0.3671412061325,"n",0,0.428674739677268
"9",1.50889464239684,1.26600510150039,2.34884297219667,"y",1,0.0000124851695917906
"10",-0.490907487960478,0.448882526711593,0.805986418738316,"n",0,0.0876314912744995
"11",-0.546325150471082,0.127626097686529,0.16567691506813,"n",0,0.720040774981972
"12",0.329756245002985,0.227665332085596,0.365729754822068,"n",0,0.430351575953005
"13",-0.419652600685354,0.572791443330237,0.922082424968139,"y",1,0.051665116803222
"14",0.492885492835593,0.814434905812808,1.37704193124945,"n",0,0.00473797532539734
"15",0.226846941052307,0.911345966037403,1.09819326316623,"n",0,0.0219186823588913
"16",0.746041219333799,0.728202364879875,1.09343972832132,"y",1,0.0223722659194788
"17",-1.00158348230581,1.05706150468137,1.84471365193691,"n",0,0.000349300921193267
"18",-0.448296831076778,0.289904418526779,0.423862281715693,"n",0,0.361501493607403
"19",-0.959946668969403,1.11277831020038,1.62076499541149,"y",1,0.00132108441066315
"20",-0.290891507748554,0.109532000460587,0.150613970808949,"n",0,0.744586905570571
"21",2.10888761191949,2.00663045349972,3.28717002248805,"y",1,0.0000000223750312004631
"22",-0.109017421751925,0.194949840458958,0.246546871637702,"n",0,0.59443245286343
"23",-1.01652335302425,1.09107764733513,1.52756767850057,"y",1,0.00197346017275195
"24",-0.665669779056526,0.710505336026892,1.35629506743869,"y",1,0.00536640982598567
"25",-0.414244537617026,0.340349180983661,0.532229318185877,"n",0,0.253576769054403
"26",0.648163396583442,0.653226755331095,1.17700123368977,"n",0,0.0144672040119307
"27",-0.545150747861326,0.646820853497328,0.861513994916507,"y",1,0.0695729610111708
"28",-0.64386813266472,1.02676240604982,1.64197827690374,"y",1,0.000990122470535068
"29",1.70544329038562,2.04639044773505,3.67829265561031,"y",1,0.00000000132015889455244
"30",0.606708005844072,0.681877444505938,1.13557708721108,"y",1,0.0179999785341782
