"","d","d_obs","cohens_d","response","resp","p","bf","ksp","lognorm"
"1",0.348674573314687,0.00310628049734829,0.00555583614177887,"y",1,0.990407367549219,-1.17502381145059,0.335590981260082,"norm"
"2",0.140012535280955,1.97974594933169,1.54475294032756,NA,NA,0.00236485169299702,2.98108750578587,9.54696510158115e-06,"lognorm"
"3",NA,NA,NA,NA,NA,NA,NA,NA,"norm"
"4",NA,NA,NA,NA,NA,NA,NA,NA,"norm"
"5",NA,NA,NA,NA,NA,NA,NA,NA,"norm"
"6",NA,NA,NA,NA,NA,NA,NA,NA,"lognorm"
"7",NA,NA,NA,NA,NA,NA,NA,NA,"lognorm"
"8",NA,NA,NA,NA,NA,NA,NA,NA,"norm"
"9",NA,NA,NA,NA,NA,NA,NA,NA,"lognorm"
"10",NA,NA,NA,NA,NA,NA,NA,NA,"lognorm"
"11",NA,NA,NA,NA,NA,NA,NA,NA,"norm"
"12",NA,NA,NA,NA,NA,NA,NA,NA,"lognorm"
"13",NA,NA,NA,NA,NA,NA,NA,NA,"norm"
"14",NA,NA,NA,NA,NA,NA,NA,NA,"lognorm"
"15",NA,NA,NA,NA,NA,NA,NA,NA,"norm"
"16",NA,NA,NA,NA,NA,NA,NA,NA,"lognorm"
"17",NA,NA,NA,NA,NA,NA,NA,NA,"lognorm"
"18",NA,NA,NA,NA,NA,NA,NA,NA,"norm"
"19",NA,NA,NA,NA,NA,NA,NA,NA,"lognorm"
"20",NA,NA,NA,NA,NA,NA,NA,NA,"norm"
